nom,time,tweet,is_retweet,rt_nom
@JLMelenchon,2017-04-04T20:43:58Z,"RT @OuestFrance: #LeGrandDebat @JLMelenchon sur l'exemplarité en politique
https://t.co/EUvFS6kZ4i https://t.co/ma8SJndIlv",TRUE,OuestFrance
@JLMelenchon,2017-04-04T20:43:38Z,"RT @PolitiqueF24: Avec la 6e Rép., ""le peuple aura le droit de révoquer les élus, y compris le président"" @JLMelenchon https://t.co/e3cnlQl…",TRUE,PolitiqueF24
@JLMelenchon,2017-04-04T20:41:34Z,"RT @CNEWS: .@JLMelenchon contre #Lafarge ""Une décision doit être prise contre ceux qui complotent avec l'ennemi"" #LeGrandDébat https://t.co…",TRUE,CNEWS
@JLMelenchon,2017-04-04T20:41:22Z,"RT @BFMTV: #LeGrandDebat ""Le peuple aura le droit de révoquer un élu en cours de mandat"" dit @JLMelenchon

📺https://t.co/LIEhlp6yN7 https:/…",TRUE,BFMTV
@JLMelenchon,2017-04-04T20:41:14Z,"RT @LesEchos: 🔴 #LeGrandDebat - @JLMelenchon : ""Le peuple aura le droit de révoquer un élu en cours de mandat"" &gt;&gt; https://t.co/v2tzn2LPZ1 h…",TRUE,LesEchos
@JLMelenchon,2017-04-04T20:41:08Z,"RT @Europe1: ""Le peuple aura le droit de révoquer un élu en cours de mandat"" @JLMelenchon #LeGrandDebat https://t.co/fNmJ8xQfRQ https://t.c…",TRUE,Europe1
@JLMelenchon,2017-04-04T20:40:26Z,Je nommerai un haut commissaire à la lutte ctre la corruption pr récurer les écuries d'Augias que je soupçonne ds notre pays. #LeGrandDebat,FALSE,NA
@JLMelenchon,2017-04-04T20:38:38Z,Il faut que les citoyens puissent révoquer les élus à mi-mandat. #LeGrandDebat #6eRepublique #Constituante https://t.co/JCBejKzCxC,FALSE,NA
@JLMelenchon,2017-04-04T20:38:16Z,Il faut rendre inéligibles à vie les élus condamnés pour corruption ou dans des affaires fiscales. #LeGrandDebat https://t.co/UzdXEzTjoI,FALSE,NA
@JLMelenchon,2017-04-04T20:37:31Z,"Il faut que les citoyens puissent révoquer les élus en cours de mandat, fût-ce le président. #LeGrandDebat https://t.co/UzdXEzTjoI",FALSE,NA
@JLMelenchon,2017-04-04T20:36:52Z,Je compte tout remettre à plat avec une assemblée constituante. #LeGrandDebat https://t.co/UzdXEzTjoI,FALSE,NA
@JLMelenchon,2017-04-04T20:36:23Z,"RT @OuestFrance: #LeGrandDebat @JLMelenchon sur le terrorisme et la sécurité
https://t.co/EUvFS6kZ4i https://t.co/m30HzEbQca",TRUE,OuestFrance
@JLMelenchon,2017-04-04T20:35:47Z,Il faut s'occuper du malheureux lycée Charles de Gaulle à Damas que nos compatriotes s'efforcent de faire vivre admirablement. #LeGrandDebat,FALSE,NA
@JLMelenchon,2017-04-04T20:31:51Z,"RT @RTLFrance: Mélenchon pointe l'oubli de la ""puissance de la France"" dans #LeGrandDebat &gt; https://t.co/EFE793LRqC https://t.co/XOB8xBXTYM",TRUE,RTLFrance
@JLMelenchon,2017-04-04T20:29:47Z,Pour aller plus loin sur les questions liées au #terrorisme et à la #sécurité : https://t.co/TUBjhonwaW. #LeGrandDebat,FALSE,NA
@JLMelenchon,2017-04-04T20:28:21Z,Pour aller plus loin sur les questions de géopolitique et de défense : https://t.co/eWmXnfILsU #LeGrandDebat,FALSE,NA
